EDA,time,values
E4_Gsr,"1647606931,247","11,4687"
E4_Gsr,"1647606931,497","11,45077"
E4_Gsr,"1647606931,747","11,45805"
E4_Gsr,"1647606931,997","11,47983"
E4_Gsr,"1647606932,247","11,52723"
E4_Gsr,"1647606932,497","11,53748"
E4_Gsr,"1647606932,747","11,54645"
E4_Gsr,"1647606932,997","11,54132"
E4_Gsr,"1647606933,247","11,54901"
E4_Gsr,"1647606933,497","11,61178"
E4_Gsr,"1647606933,747","11,68353"
E4_Gsr,"1647606933,997","11,76039"
E4_Gsr,"1647606934,247","11,77961"
E4_Gsr,"1647606934,497","11,78089"
E4_Gsr,"1647606934,747","11,75655"
E4_Gsr,"1647606934,997","11,73093"
E4_Gsr,"1647606935,247","11,70658"
E4_Gsr,"1647606935,497","11,67712"
E4_Gsr,"1647606935,747","11,66303"
E4_Gsr,"1647606935,997","11,64381"
E4_Gsr,"1647606936,247","11,63741"
E4_Gsr,"1647606936,497","11,6105"
E4_Gsr,"1647606936,747","11,60922"
E4_Gsr,"1647606936,997","11,60282"
E4_Gsr,"1647606937,247","11,59129"
E4_Gsr,"1647606937,497","11,58488"
E4_Gsr,"1647606937,747","11,59769"
E4_Gsr,"1647606937,997","11,68224"
E4_Gsr,"1647606938,247","11,91156"
E4_Gsr,"1647606938,497","12,10373"
E4_Gsr,"1647606938,747","12,53329"
E4_Gsr,"1647606938,997","12,72818"
E4_Gsr,"1647606939,247","12,71537"
E4_Gsr,"1647606939,497","12,59367"
E4_Gsr,"1647606939,747","12,43097"
E4_Gsr,"1647606939,997","12,32079"
E4_Gsr,"1647606940,247","12,33104"
E4_Gsr,"1647606940,497","12,39125"
E4_Gsr,"1647606940,747","12,39766"
E4_Gsr,"1647606940,997","12,34898"
E4_Gsr,"1647606941,247","12,25546"
E4_Gsr,"1647606941,497","12,17859"
E4_Gsr,"1647606941,747","12,11838"
E4_Gsr,"1647606941,997","12,07226"
E4_Gsr,"1647606942,247","12,02614"
E4_Gsr,"1647606942,497","11,9813"
E4_Gsr,"1647606942,747","11,94031"
E4_Gsr,"1647606942,997","11,89659"
E4_Gsr,"1647606943,247","11,85175"
E4_Gsr,"1647606943,497","11,82485"
E4_Gsr,"1647606943,747","11,89403"
E4_Gsr,"1647606943,997","12,00933"
E4_Gsr,"1647606944,247","12,099"
E4_Gsr,"1647606944,497","12,12206"
E4_Gsr,"1647606944,747","12,10285"
E4_Gsr,"1647606944,997","12,05288"
E4_Gsr,"1647606945,247","12,08491"
E4_Gsr,"1647606945,497","12,26939"
E4_Gsr,"1647606945,747","12,54098"
E4_Gsr,"1647606945,997","12,81914"
E4_Gsr,"1647606946,247","12,89985"
E4_Gsr,"1647606946,497","12,84604"
E4_Gsr,"1647606946,747","12,67566"
E4_Gsr,"1647606946,997","12,46171"
E4_Gsr,"1647606947,247","12,2324"
E4_Gsr,"1647606947,497","12,06329"
E4_Gsr,"1647606947,747","11,9339"
E4_Gsr,"1647606947,997","11,82997"
E4_Gsr,"1647606948,247","11,75439"
E4_Gsr,"1647606948,497","11,70827"
E4_Gsr,"1647606948,747","11,67624"
E4_Gsr,"1647606948,997","11,64934"
E4_Gsr,"1647606949,247","11,63781"
E4_Gsr,"1647606949,497","11,63524"
E4_Gsr,"1647606949,747","11,64037"
E4_Gsr,"1647606949,997","11,64165"
E4_Gsr,"1647606950,247","11,63781"
E4_Gsr,"1647606950,497","11,61347"
E4_Gsr,"1647606950,747","11,60962"
E4_Gsr,"1647606950,997","11,59297"
E4_Gsr,"1647606951,247","11,6045"
E4_Gsr,"1647606951,497","11,59681"
E4_Gsr,"1647606951,747","11,64421"
E4_Gsr,"1647606951,997","11,60194"
E4_Gsr,"1647606952,247","11,58912"
E4_Gsr,"1647606952,497","11,57503"
E4_Gsr,"1647606952,747","11,56735"
E4_Gsr,"1647606952,997","11,55069"
