BVP,time,values
E4_Bvp,"1647611469,34993","39,17489"
E4_Bvp,"1647611469,36556","73,26703"
E4_Bvp,"1647611469,38118","108,0459"
E4_Bvp,"1647611469,39681","140,6022"
E4_Bvp,"1647611469,41243","168,1871"
E4_Bvp,"1647611469,42806","189,008"
E4_Bvp,"1647611469,44369","202,546"
E4_Bvp,"1647611469,45931","209,1606"
E4_Bvp,"1647611469,47494","209,2449"
E4_Bvp,"1647611469,49056","202,5686"
E4_Bvp,"1647611469,50619","188,1863"
E4_Bvp,"1647611469,52181","165,1242"
E4_Bvp,"1647611469,53744","133,6002"
E4_Bvp,"1647611469,55307","95,81539"
E4_Bvp,"1647611469,56869","56,02858"
E4_Bvp,"1647611469,58432","19,48347"
E4_Bvp,"1647611469,59994","-9,238255"
E4_Bvp,"1647611469,61557","-27,76521"
E4_Bvp,"1647611469,63119","-36,56608"
E4_Bvp,"1647611469,64682","-38,41595"
E4_Bvp,"1647611469,66245","-37,07522"
E4_Bvp,"1647611469,67807","-35,74454"
E4_Bvp,"1647611469,6937","-36,29419"
E4_Bvp,"1647611469,70932","-39,19144"
E4_Bvp,"1647611469,72495","-44,01308"
E4_Bvp,"1647611469,74057","-50,13506"
E4_Bvp,"1647611469,7562","-57,16278"
E4_Bvp,"1647611469,77183","-64,97444"
E4_Bvp,"1647611469,78745","-73,49773"
E4_Bvp,"1647611469,80308","-82,58923"
E4_Bvp,"1647611469,8187","-91,93976"
E4_Bvp,"1647611469,83433","-101,2547"
E4_Bvp,"1647611469,84995","-110,1376"
E4_Bvp,"1647611469,86558","-117,992"
E4_Bvp,"1647611469,88121","-123,7266"
E4_Bvp,"1647611469,89683","-125,7383"
E4_Bvp,"1647611469,91246","-122,2505"
E4_Bvp,"1647611469,92808","-112,0612"
E4_Bvp,"1647611469,94371","-95,30559"
E4_Bvp,"1647611469,95934","-73,70155"
E4_Bvp,"1647611469,97496","-50,15559"
E4_Bvp,"1647611469,99059","-27,79595"
E4_Bvp,"1647611470,00621","-8,905563"
E4_Bvp,"1647611470,02184","5,592516"
E4_Bvp,"1647611470,03746","16,05865"
E4_Bvp,"1647611470,05309","23,46329"
E4_Bvp,"1647611470,06872","28,67969"
E4_Bvp,"1647611470,08434","32,09593"
E4_Bvp,"1647611470,09997","33,70748"
E4_Bvp,"1647611470,11559","33,5402"
E4_Bvp,"1647611470,13122","31,88744"
E4_Bvp,"1647611470,14684","29,44739"
E4_Bvp,"1647611470,16247","26,88775"
E4_Bvp,"1647611470,1781","24,68009"
E4_Bvp,"1647611470,19372","22,78715"
E4_Bvp,"1647611470,20935","20,81445"
E4_Bvp,"1647611470,22497","18,29188"
E4_Bvp,"1647611470,2406","14,98651"
E4_Bvp,"1647611470,25622","11,02831"
E4_Bvp,"1647611470,27185","6,732048"
E4_Bvp,"1647611470,28748","2,292088"
E4_Bvp,"1647611470,3031","-2,50124"
E4_Bvp,"1647611470,31873","-8,109013"
E4_Bvp,"1647611470,33435","-14,95398"
E4_Bvp,"1647611470,34998","-22,80094"
E4_Bvp,"1647611470,3656","-30,48484"
E4_Bvp,"1647611470,38123","-36,10158"
E4_Bvp,"1647611470,39686","-37,6645"
E4_Bvp,"1647611470,41248","-34,01759"
E4_Bvp,"1647611470,42811","-25,41431"
E4_Bvp,"1647611470,44373","-13,51424"
E4_Bvp,"1647611470,45936","-0,7831421"
E4_Bvp,"1647611470,47498","10,38058"
E4_Bvp,"1647611470,49061","18,42117"
E4_Bvp,"1647611470,50624","22,89135"
E4_Bvp,"1647611470,52186","24,22943"
E4_Bvp,"1647611470,53749","23,38927"
E4_Bvp,"1647611470,55311","21,34956"
E4_Bvp,"1647611470,56874","18,97595"
E4_Bvp,"1647611470,58436","16,94857"
E4_Bvp,"1647611470,59999","15,77381"
E4_Bvp,"1647611470,61562","15,72519"
E4_Bvp,"1647611470,63124","16,68913"
E4_Bvp,"1647611470,64687","18,11979"
E4_Bvp,"1647611470,66249","18,98742"
