ST,time,values
E4_Temperature,"1641384265,3799","33,77"
E4_Temperature,"1641384265,62991","33,77"
E4_Temperature,"1641384265,87992","33,77"
E4_Temperature,"1641384266,12994","33,77"
E4_Temperature,"1641384266,37995","33,79"
E4_Temperature,"1641384266,62996","33,79"
E4_Temperature,"1641384266,87997","33,79"
E4_Temperature,"1641384267,12998","33,79"
E4_Temperature,"1641384267,37999","33,79"
E4_Temperature,"1641384267,63001","33,79"
E4_Temperature,"1641384267,88002","33,79"
E4_Temperature,"1641384268,13003","33,79"
E4_Temperature,"1641384268,38004","33,77"
E4_Temperature,"1641384268,63005","33,77"
E4_Temperature,"1641384268,88006","33,77"
E4_Temperature,"1641384269,13007","33,77"
E4_Temperature,"1641384269,38009","33,79"
E4_Temperature,"1641384269,6301","33,79"
E4_Temperature,"1641384269,88011","33,79"
E4_Temperature,"1641384270,13012","33,79"
E4_Temperature,"1641384270,38013","33,79"
E4_Temperature,"1641384270,63014","33,79"
E4_Temperature,"1641384270,88016","33,79"
E4_Temperature,"1641384271,13017","33,79"
E4_Temperature,"1641384271,38018","33,81"
E4_Temperature,"1641384271,63019","33,81"
E4_Temperature,"1641384271,8802","33,81"
E4_Temperature,"1641384272,13021","33,81"
E4_Temperature,"1641384272,38023","33,79"
E4_Temperature,"1641384272,63024","33,79"
E4_Temperature,"1641384272,88025","33,79"
E4_Temperature,"1641384273,13026","33,79"
E4_Temperature,"1641384273,38027","33,81"
E4_Temperature,"1641384273,63028","33,81"
E4_Temperature,"1641384273,88029","33,81"
E4_Temperature,"1641384274,13031","33,81"
E4_Temperature,"1641384274,38032","33,79"
E4_Temperature,"1641384274,63033","33,79"
E4_Temperature,"1641384274,88034","33,79"
E4_Temperature,"1641384275,13035","33,79"
E4_Temperature,"1641384275,38036","33,81"
E4_Temperature,"1641384275,63038","33,81"
E4_Temperature,"1641384275,88039","33,81"
E4_Temperature,"1641384276,1304","33,81"
E4_Temperature,"1641384276,38041","33,79"
E4_Temperature,"1641384276,63042","33,79"
