BVP,time,values
E4_Bvp,"1641384898,36117","19,23083"
E4_Bvp,"1641384898,37679","18,41705"
E4_Bvp,"1641384898,39242","17,28713"
E4_Bvp,"1641384898,40805","16,18998"
E4_Bvp,"1641384898,42367","15,39346"
E4_Bvp,"1641384898,4393","15,0294"
E4_Bvp,"1641384898,45492","14,94728"
E4_Bvp,"1641384898,47055","14,85202"
E4_Bvp,"1641384898,48617","14,36896"
E4_Bvp,"1641384898,5018","13,23455"
E4_Bvp,"1641384898,51743","11,41302"
E4_Bvp,"1641384898,53305","9,112049"
E4_Bvp,"1641384898,54868","6,693779"
E4_Bvp,"1641384898,5643","4,462818"
E4_Bvp,"1641384898,57993","2,495285"
E4_Bvp,"1641384898,59555","0,5663338"
E4_Bvp,"1641384898,61118","-1,752113"
E4_Bvp,"1641384898,62681","-4,917839"
E4_Bvp,"1641384898,64243","-9,206226"
E4_Bvp,"1641384898,65806","-14,59596"
E4_Bvp,"1641384898,67368","-20,66793"
E4_Bvp,"1641384898,68931","-26,63971"
E4_Bvp,"1641384898,70493","-31,47721"
E4_Bvp,"1641384898,72056","-34,15448"
E4_Bvp,"1641384898,73619","-33,94745"
E4_Bvp,"1641384898,75181","-30,65359"
E4_Bvp,"1641384898,76744","-24,68975"
E4_Bvp,"1641384898,78306","-16,9565"
E4_Bvp,"1641384898,79869","-8,597328"
E4_Bvp,"1641384898,81431","-0,6531448"
E4_Bvp,"1641384898,82994","6,083786"
E4_Bvp,"1641384898,84557","11,1832"
E4_Bvp,"1641384898,86119","14,49834"
E4_Bvp,"1641384898,87682","16,05186"
E4_Bvp,"1641384898,89244","16,01989"
E4_Bvp,"1641384898,90807","14,69861"
E4_Bvp,"1641384898,92369","12,57875"
E4_Bvp,"1641384898,93932","10,28229"
E4_Bvp,"1641384898,95495","8,391796"
E4_Bvp,"1641384898,97057","7,241512"
E4_Bvp,"1641384898,9862","6,787163"
E4_Bvp,"1641384899,00182","6,714302"
E4_Bvp,"1641384899,01745","6,602432"
E4_Bvp,"1641384899,03307","6,143559"
E4_Bvp,"1641384899,0487","5,261116"
E4_Bvp,"1641384899,06433","4,03437"
E4_Bvp,"1641384899,07995","2,640537"
E4_Bvp,"1641384899,09558","1,201035"
E4_Bvp,"1641384899,1112","-0,2892799"
E4_Bvp,"1641384899,12683","-1,952251"
E4_Bvp,"1641384899,14245","-4,064426"
E4_Bvp,"1641384899,15808","-6,919521"
E4_Bvp,"1641384899,17371","-10,763"
E4_Bvp,"1641384899,18933","-15,65607"
E4_Bvp,"1641384899,20496","-21,32215"
E4_Bvp,"1641384899,22058","-27,13897"
E4_Bvp,"1641384899,23621","-32,12252"
E4_Bvp,"1641384899,25183","-35,16132"
E4_Bvp,"1641384899,26746","-35,33158"
E4_Bvp,"1641384899,28309","-32,22814"
E4_Bvp,"1641384899,29871","-26,15644"
E4_Bvp,"1641384899,31434","-18,00089"
E4_Bvp,"1641384899,32996","-8,986759"
E4_Bvp,"1641384899,34559","-0,2973976"
E4_Bvp,"1641384899,36121","7,202168"
E4_Bvp,"1641384899,37684","13,0057"
E4_Bvp,"1641384899,39247","16,99062"
E4_Bvp,"1641384899,40809","19,24012"
E4_Bvp,"1641384899,42372","19,96287"
E4_Bvp,"1641384899,43934","19,48755"
E4_Bvp,"1641384899,45497","18,2106"
E4_Bvp,"1641384899,47059","16,6082"
E4_Bvp,"1641384899,48622","15,14436"
E4_Bvp,"1641384899,50185","14,12498"
E4_Bvp,"1641384899,51747","13,57902"
E4_Bvp,"1641384899,5331","13,24805"
E4_Bvp,"1641384899,54872","12,738"
E4_Bvp,"1641384899,56435","11,73293"
E4_Bvp,"1641384899,57997","10,14188"
E4_Bvp,"1641384899,5956","8,135563"
E4_Bvp,"1641384899,61123","5,959286"
E4_Bvp,"1641384899,62685","3,85207"
E4_Bvp,"1641384899,64248","1,834637"
E4_Bvp,"1641384899,6581","-0,264801"
E4_Bvp,"1641384899,67373","-2,772835"
E4_Bvp,"1641384899,68935","-6,069614"
E4_Bvp,"1641384899,70498","-10,41021"
E4_Bvp,"1641384899,72061","-15,81794"
E4_Bvp,"1641384899,73623","-21,98075"
E4_Bvp,"1641384899,75186","-28,19101"
