ST,time,values
E4_Temperature,"1641389031,04573","33,99"
E4_Temperature,"1641389031,29575","33,99"
E4_Temperature,"1641389031,54576","33,99"
E4_Temperature,"1641389031,79577","33,99"
E4_Temperature,"1641389032,04578","33,95"
E4_Temperature,"1641389032,29579","33,95"
E4_Temperature,"1641389032,5458","33,95"
E4_Temperature,"1641389032,79581","33,95"
E4_Temperature,"1641389033,04583","33,99"
E4_Temperature,"1641389033,29584","33,99"
E4_Temperature,"1641389033,54585","33,99"
E4_Temperature,"1641389033,79586","33,99"
E4_Temperature,"1641389034,04587","33,99"
E4_Temperature,"1641389034,29588","33,99"
E4_Temperature,"1641389034,5459","33,99"
E4_Temperature,"1641389034,79591","33,99"
E4_Temperature,"1641389035,04592","33,97"
E4_Temperature,"1641389035,29593","33,97"
E4_Temperature,"1641389035,54594","33,97"
E4_Temperature,"1641389035,79595","33,97"
E4_Temperature,"1641389036,04597","33,99"
E4_Temperature,"1641389036,29598","33,99"
E4_Temperature,"1641389036,54599","33,99"
E4_Temperature,"1641389036,796","33,99"
E4_Temperature,"1641389037,04601","33,97"
E4_Temperature,"1641389037,29602","33,97"
E4_Temperature,"1641389037,54604","33,97"
E4_Temperature,"1641389037,79605","33,97"
E4_Temperature,"1641389038,04606","33,97"
E4_Temperature,"1641389038,29607","33,97"
E4_Temperature,"1641389038,54608","33,97"
E4_Temperature,"1641389038,79609","33,97"
E4_Temperature,"1641389039,0461","33,97"
E4_Temperature,"1641389039,29612","33,97"
E4_Temperature,"1641389039,54613","33,97"
E4_Temperature,"1641389039,79614","33,97"
E4_Temperature,"1641389040,04615","33,95"
E4_Temperature,"1641389040,29616","33,95"
E4_Temperature,"1641389040,54617","33,95"
E4_Temperature,"1641389040,79619","33,95"
E4_Temperature,"1641389041,0462","33,99"
E4_Temperature,"1641389041,29621","33,99"
E4_Temperature,"1641389041,54622","33,99"
E4_Temperature,"1641389041,79623","33,99"
E4_Temperature,"1641389042,04624","33,95"
E4_Temperature,"1641389042,29625","33,95"
E4_Temperature,"1641389042,54627","33,95"
E4_Temperature,"1641389042,79628","33,95"
E4_Temperature,"1641389043,04629","33,97"
E4_Temperature,"1641389043,2963","33,97"
E4_Temperature,"1641389043,54631","33,97"
E4_Temperature,"1641389043,79632","33,97"
E4_Temperature,"1641389044,04634","33,99"
E4_Temperature,"1641389044,29635","33,99"
E4_Temperature,"1641389044,54636","33,99"
E4_Temperature,"1641389044,79637","33,99"
E4_Temperature,"1641389045,04638","34,01"
E4_Temperature,"1641389045,29639","34,01"
E4_Temperature,"1641389045,54641","34,01"
E4_Temperature,"1641389045,79642","34,01"
E4_Temperature,"1641389046,04643","33,99"
E4_Temperature,"1641389046,29644","33,99"
E4_Temperature,"1641389046,54645","33,99"
E4_Temperature,"1641389046,79646","33,99"
E4_Temperature,"1641389047,04647","33,99"
E4_Temperature,"1641389047,29649","33,99"
E4_Temperature,"1641389047,5465","33,99"
E4_Temperature,"1641389047,79651","33,99"
E4_Temperature,"1641389048,04652","33,99"
E4_Temperature,"1641389048,29653","33,99"
E4_Temperature,"1641389048,54654","33,99"
E4_Temperature,"1641389048,79656","33,99"
E4_Temperature,"1641389049,04657","33,97"
E4_Temperature,"1641389049,29658","33,97"
E4_Temperature,"1641389049,54659","33,97"
E4_Temperature,"1641389049,7966","33,97"
E4_Temperature,"1641389050,04661","33,97"
E4_Temperature,"1641389050,29663","33,97"
E4_Temperature,"1641389050,54664","33,97"
E4_Temperature,"1641389050,79665","33,97"
E4_Temperature,"1641389051,04666","33,97"
E4_Temperature,"1641389051,29667","33,97"
E4_Temperature,"1641389051,54668","33,97"
E4_Temperature,"1641389051,79669","33,97"
E4_Temperature,"1641389052,04671","33,97"
E4_Temperature,"1641389052,29672","33,97"
E4_Temperature,"1641389052,54673","33,97"
E4_Temperature,"1641389052,79674","33,97"
E4_Temperature,"1641389053,04675","33,99"
E4_Temperature,"1641389053,29676","33,99"
E4_Temperature,"1641389053,54678","33,99"
E4_Temperature,"1641389053,79679","33,99"
E4_Temperature,"1641389054,0468","33,99"
E4_Temperature,"1641389054,29681","33,99"
E4_Temperature,"1641389054,54682","33,99"
E4_Temperature,"1641389054,79683","33,99"
E4_Temperature,"1641389055,04685","33,99"
E4_Temperature,"1641389055,29686","33,99"
E4_Temperature,"1641389055,54687","33,99"
E4_Temperature,"1641389055,79688","33,99"
E4_Temperature,"1641389056,04689","33,97"
E4_Temperature,"1641389056,2969","33,97"
E4_Temperature,"1641389056,54691","33,97"
E4_Temperature,"1641389056,79693","33,97"
E4_Temperature,"1641389057,04694","33,99"
E4_Temperature,"1641389057,29695","33,99"
E4_Temperature,"1641389057,54696","33,99"
E4_Temperature,"1641389057,79697","33,99"
E4_Temperature,"1641389058,04698","33,99"
E4_Temperature,"1641389058,297","33,99"
E4_Temperature,"1641389058,54701","33,99"
E4_Temperature,"1641389058,79702","33,99"
E4_Temperature,"1641389059,04703","33,99"
E4_Temperature,"1641389059,29704","33,99"
E4_Temperature,"1641389059,54705","33,99"
E4_Temperature,"1641389059,79707","33,99"
E4_Temperature,"1641389060,04708","33,99"
E4_Temperature,"1641389060,29709","33,99"
E4_Temperature,"1641389060,5471","33,99"
E4_Temperature,"1641389060,79711","33,99"
E4_Temperature,"1641389061,04712","33,97"
E4_Temperature,"1641389061,29713","33,97"
E4_Temperature,"1641389061,54715","33,97"
E4_Temperature,"1641389061,79716","33,97"
E4_Temperature,"1641389062,04717","33,97"
E4_Temperature,"1641389062,29718","33,97"
E4_Temperature,"1641389062,54719","33,97"
E4_Temperature,"1641389062,7972","33,97"
E4_Temperature,"1641389063,04722","33,99"
E4_Temperature,"1641389063,29723","33,99"
E4_Temperature,"1641389063,54724","33,99"
E4_Temperature,"1641389063,79725","33,99"
E4_Temperature,"1641389064,04726","33,97"
E4_Temperature,"1641389064,29727","33,97"
E4_Temperature,"1641389064,54729","33,97"
E4_Temperature,"1641389064,7973","33,97"
E4_Temperature,"1641389065,04731","33,97"
E4_Temperature,"1641389065,29732","33,97"
E4_Temperature,"1641389065,54733","33,97"
E4_Temperature,"1641389065,79734","33,97"
E4_Temperature,"1641389066,04735","33,99"
E4_Temperature,"1641389066,29737","33,99"
E4_Temperature,"1641389066,54738","33,99"
E4_Temperature,"1641389066,79739","33,99"
E4_Temperature,"1641389067,0474","33,97"
E4_Temperature,"1641389067,29741","33,97"
E4_Temperature,"1641389067,54742","33,97"
E4_Temperature,"1641389067,79744","33,97"
E4_Temperature,"1641389068,04745","33,97"
E4_Temperature,"1641389068,29746","33,97"
E4_Temperature,"1641389068,54747","33,97"
E4_Temperature,"1641389068,79748","33,97"
E4_Temperature,"1641389069,04749","33,99"
