BVP,time,values
E4_Bvp,"1647608887,73037","-9,736893"
E4_Bvp,"1647608887,746","-14,20755"
E4_Bvp,"1647608887,76162","-18,3981"
E4_Bvp,"1647608887,77725","-21,267"
E4_Bvp,"1647608887,79287","-21,87561"
E4_Bvp,"1647608887,8085","-19,64293"
E4_Bvp,"1647608887,82412","-14,4836"
E4_Bvp,"1647608887,83975","-6,882538"
E4_Bvp,"1647608887,85538","2,18541"
E4_Bvp,"1647608887,871","11,46323"
E4_Bvp,"1647608887,88663","19,66557"
E4_Bvp,"1647608887,90225","25,91811"
E4_Bvp,"1647608887,91788","29,88065"
E4_Bvp,"1647608887,9335","31,8219"
E4_Bvp,"1647608887,94913","32,37564"
E4_Bvp,"1647608887,96476","32,24539"
E4_Bvp,"1647608887,98038","31,92639"
E4_Bvp,"1647608887,99601","31,55554"
E4_Bvp,"1647608888,01163","31,07257"
E4_Bvp,"1647608888,02726","30,35419"
E4_Bvp,"1647608888,04288","29,46297"
E4_Bvp,"1647608888,05851","28,54399"
E4_Bvp,"1647608888,07414","27,74658"
E4_Bvp,"1647608888,08976","27,0388"
E4_Bvp,"1647608888,10539","26,13216"
E4_Bvp,"1647608888,12101","24,5883"
E4_Bvp,"1647608888,13664","21,94185"
E4_Bvp,"1647608888,15226","18,07942"
E4_Bvp,"1647608888,16789","13,25423"
E4_Bvp,"1647608888,18352","8,064697"
E4_Bvp,"1647608888,19914","3,262161"
E4_Bvp,"1647608888,21477","-0,6303711"
E4_Bvp,"1647608888,23039","-3,460159"
E4_Bvp,"1647608888,24602","-5,493652"
E4_Bvp,"1647608888,26164","-7,252228"
E4_Bvp,"1647608888,27727","-9,224823"
E4_Bvp,"1647608888,2929","-11,75854"
E4_Bvp,"1647608888,30852","-14,97969"
E4_Bvp,"1647608888,32415","-18,83057"
E4_Bvp,"1647608888,33977","-23,08897"
E4_Bvp,"1647608888,3554","-27,28122"
E4_Bvp,"1647608888,37102","-30,64349"
E4_Bvp,"1647608888,38665","-32,21431"
E4_Bvp,"1647608888,40228","-31,07591"
E4_Bvp,"1647608888,4179","-26,73845"
E4_Bvp,"1647608888,43353","-19,45184"
E4_Bvp,"1647608888,44915","-10,23485"
E4_Bvp,"1647608888,46478","-0,5937042"
E4_Bvp,"1647608888,4804","8,02388"
E4_Bvp,"1647608888,49603","14,66661"
E4_Bvp,"1647608888,51166","19,04951"
E4_Bvp,"1647608888,52728","21,50755"
E4_Bvp,"1647608888,54291","22,62617"
E4_Bvp,"1647608888,55853","22,95438"
E4_Bvp,"1647608888,57416","22,88557"
E4_Bvp,"1647608888,58978","22,57686"
E4_Bvp,"1647608888,60541","22,12149"
E4_Bvp,"1647608888,62104","21,56339"
E4_Bvp,"1647608888,63666","20,96045"
E4_Bvp,"1647608888,65229","20,31575"
E4_Bvp,"1647608888,66791","19,67477"
E4_Bvp,"1647608888,68354","19,03787"
E4_Bvp,"1647608888,69916","18,3979"
E4_Bvp,"1647608888,71479","17,68172"
E4_Bvp,"1647608888,73042","16,6969"
E4_Bvp,"1647608888,74604","15,22414"
E4_Bvp,"1647608888,76167","12,98157"
E4_Bvp,"1647608888,77729","9,884003"
E4_Bvp,"1647608888,79292","5,98613"
E4_Bvp,"1647608888,80854","1,585999"
E4_Bvp,"1647608888,82417","-2,92836"
E4_Bvp,"1647608888,8398","-7,169312"
E4_Bvp,"1647608888,85542","-10,83917"
E4_Bvp,"1647608888,87105","-13,81511"
E4_Bvp,"1647608888,88667","-16,12541"
E4_Bvp,"1647608888,9023","-18,02487"
E4_Bvp,"1647608888,91792","-19,84718"
E4_Bvp,"1647608888,93355","-21,95515"
E4_Bvp,"1647608888,94918","-24,54942"
E4_Bvp,"1647608888,9648","-27,59729"
E4_Bvp,"1647608888,98043","-30,72011"
E4_Bvp,"1647608888,99605","-33,17938"
E4_Bvp,"1647608889,01168","-34,06679"
E4_Bvp,"1647608889,0273","-32,51675"
E4_Bvp,"1647608889,04293","-28,08736"
E4_Bvp,"1647608889,05856","-20,97282"
E4_Bvp,"1647608889,07418","-12,03098"
E4_Bvp,"1647608889,08981","-2,561035"
E4_Bvp,"1647608889,10543","6,052795"
E4_Bvp,"1647608889,12106","12,79218"
E4_Bvp,"1647608889,13668","17,248"
E4_Bvp,"1647608889,15231","19,60945"
E4_Bvp,"1647608889,16794","20,50816"
E4_Bvp,"1647608889,18356","20,61559"
E4_Bvp,"1647608889,19919","20,40378"
E4_Bvp,"1647608889,21481","20,02306"
E4_Bvp,"1647608889,23044","19,36118"
