BVP,time,values
E4_Bvp,"1647602708,57077","8,055836"
E4_Bvp,"1647602708,58639","6,472422"
E4_Bvp,"1647602708,60202","5,619871"
E4_Bvp,"1647602708,61764","4,843601"
E4_Bvp,"1647602708,63327","3,792572"
E4_Bvp,"1647602708,6489","2,452175"
E4_Bvp,"1647602708,66452","1,011673"
E4_Bvp,"1647602708,68015","-0,3702393"
E4_Bvp,"1647602708,69577","-1,77039"
E4_Bvp,"1647602708,7114","-3,540661"
E4_Bvp,"1647602708,72702","-6,236439"
E4_Bvp,"1647602708,74265","-10,46958"
E4_Bvp,"1647602708,75828","-16,71372"
E4_Bvp,"1647602708,7739","-25,10925"
E4_Bvp,"1647602708,78953","-35,26427"
E4_Bvp,"1647602708,80515","-46,12032"
E4_Bvp,"1647602708,82078","-56,01114"
E4_Bvp,"1647602708,8364","-62,94988"
E4_Bvp,"1647602708,85203","-65,13899"
E4_Bvp,"1647602708,86766","-61,54558"
E4_Bvp,"1647602708,88328","-52,27188"
E4_Bvp,"1647602708,89891","-38,57856"
E4_Bvp,"1647602708,91453","-22,45817"
E4_Bvp,"1647602708,93016","-6,066864"
E4_Bvp,"1647602708,94578","8,889935"
E4_Bvp,"1647602708,96141","21,38216"
E4_Bvp,"1647602708,97704","31,00555"
E4_Bvp,"1647602708,99266","37,68977"
E4_Bvp,"1647602709,00829","41,45979"
E4_Bvp,"1647602709,02391","42,33657"
E4_Bvp,"1647602709,03954","40,4696"
E4_Bvp,"1647602709,05516","36,30211"
E4_Bvp,"1647602709,07079","30,64032"
E4_Bvp,"1647602709,08642","24,5631"
E4_Bvp,"1647602709,10204","19,12236"
E4_Bvp,"1647602709,11767","15,06444"
E4_Bvp,"1647602709,13329","12,64124"
E4_Bvp,"1647602709,14892","11,62637"
E4_Bvp,"1647602709,16454","11,4935"
E4_Bvp,"1647602709,18017","11,7043"
E4_Bvp,"1647602709,1958","11,90961"
E4_Bvp,"1647602709,21142","11,98903"
E4_Bvp,"1647602709,22705","11,96385"
E4_Bvp,"1647602709,24267","11,83717"
E4_Bvp,"1647602709,2583","11,46872"
E4_Bvp,"1647602709,27392","10,53509"
E4_Bvp,"1647602709,28955","8,630783"
E4_Bvp,"1647602709,30518","5,349548"
E4_Bvp,"1647602709,3208","0,3819504"
E4_Bvp,"1647602709,33643","-6,407181"
E4_Bvp,"1647602709,35205","-14,87682"
E4_Bvp,"1647602709,36768","-24,4531"
E4_Bvp,"1647602709,3833","-34,02746"
E4_Bvp,"1647602709,39893","-42,01896"
E4_Bvp,"1647602709,41456","-46,66219"
E4_Bvp,"1647602709,43018","-46,49863"
E4_Bvp,"1647602709,44581","-40,90024"
E4_Bvp,"1647602709,46143","-30,32359"
E4_Bvp,"1647602709,47706","-16,22991"
E4_Bvp,"1647602709,49268","-0,6340256"
E4_Bvp,"1647602709,50831","14,47145"
E4_Bvp,"1647602709,52394","27,61129"
E4_Bvp,"1647602709,53956","37,98654"
E4_Bvp,"1647602709,55519","45,35767"
E4_Bvp,"1647602709,57081","49,7688"
E4_Bvp,"1647602709,58644","51,29539"
E4_Bvp,"1647602709,60206","50,04018"
