ST,time,values
E4_Temperature,"1641476825,60546","32,95"
E4_Temperature,"1641476825,85547","32,95"
E4_Temperature,"1641476826,10548","32,95"
E4_Temperature,"1641476826,35549","32,95"
E4_Temperature,"1641476826,6055","32,93"
E4_Temperature,"1641476826,85552","32,93"
E4_Temperature,"1641476827,10553","32,93"
E4_Temperature,"1641476827,35554","32,93"
E4_Temperature,"1641476827,60555","32,97"
E4_Temperature,"1641476827,85556","32,97"
E4_Temperature,"1641476828,10557","32,97"
E4_Temperature,"1641476828,35558","32,97"
E4_Temperature,"1641476828,6056","32,95"
E4_Temperature,"1641476828,85561","32,95"
E4_Temperature,"1641476829,10562","32,95"
E4_Temperature,"1641476829,35563","32,95"
E4_Temperature,"1641476829,60564","32,97"
E4_Temperature,"1641476829,85565","32,97"
E4_Temperature,"1641476830,10567","32,97"
E4_Temperature,"1641476830,35568","32,97"
E4_Temperature,"1641476830,60569","32,95"
E4_Temperature,"1641476830,8557","32,95"
E4_Temperature,"1641476831,10571","32,95"
E4_Temperature,"1641476831,35572","32,95"
E4_Temperature,"1641476831,60573","32,95"
E4_Temperature,"1641476831,85575","32,95"
E4_Temperature,"1641476832,10576","32,95"
E4_Temperature,"1641476832,35577","32,95"
E4_Temperature,"1641476832,60578","32,93"
E4_Temperature,"1641476832,85579","32,93"
E4_Temperature,"1641476833,1058","32,93"
E4_Temperature,"1641476833,35582","32,93"
E4_Temperature,"1641476833,60583","32,93"
E4_Temperature,"1641476833,85584","32,93"
E4_Temperature,"1641476834,10585","32,93"
E4_Temperature,"1641476834,35586","32,93"
E4_Temperature,"1641476834,60587","32,93"
E4_Temperature,"1641476834,85589","32,93"
E4_Temperature,"1641476835,1059","32,93"
E4_Temperature,"1641476835,35591","32,93"
E4_Temperature,"1641476835,60592","32,93"
E4_Temperature,"1641476835,85593","32,93"
E4_Temperature,"1641476836,10594","32,93"
E4_Temperature,"1641476836,35595","32,93"
E4_Temperature,"1641476836,60597","32,95"
E4_Temperature,"1641476836,85598","32,95"
E4_Temperature,"1641476837,10599","32,95"
E4_Temperature,"1641476837,356","32,95"
E4_Temperature,"1641476837,60601","32,93"
E4_Temperature,"1641476837,85602","32,93"
E4_Temperature,"1641476838,10604","32,93"
E4_Temperature,"1641476838,35605","32,93"
E4_Temperature,"1641476838,60606","32,93"
E4_Temperature,"1641476838,85607","32,93"
E4_Temperature,"1641476839,10608","32,93"
E4_Temperature,"1641476839,35609","32,93"
E4_Temperature,"1641476839,60611","32,95"
E4_Temperature,"1641476839,85612","32,95"
E4_Temperature,"1641476840,10613","32,95"
E4_Temperature,"1641476840,35614","32,95"
E4_Temperature,"1641476840,60615","32,93"
E4_Temperature,"1641476840,85616","32,93"
E4_Temperature,"1641476841,10617","32,93"
E4_Temperature,"1641476841,35619","32,93"
E4_Temperature,"1641476841,6062","32,95"
E4_Temperature,"1641476841,85621","32,95"
E4_Temperature,"1641476842,10622","32,95"
E4_Temperature,"1641476842,35623","32,95"
E4_Temperature,"1641476842,60624","32,93"
E4_Temperature,"1641476842,85626","32,93"
E4_Temperature,"1641476843,10627","32,93"
E4_Temperature,"1641476843,35628","32,93"
E4_Temperature,"1641476843,60629","32,93"
E4_Temperature,"1641476843,8563","32,93"
E4_Temperature,"1641476844,10631","32,93"
E4_Temperature,"1641476844,35633","32,93"
E4_Temperature,"1641476844,60634","32,95"
E4_Temperature,"1641476844,85635","32,95"
E4_Temperature,"1641476845,10636","32,95"
E4_Temperature,"1641476845,35637","32,95"
E4_Temperature,"1641476845,60638","32,95"
E4_Temperature,"1641476845,85639","32,95"
E4_Temperature,"1641476846,10641","32,95"
E4_Temperature,"1641476846,35642","32,95"
E4_Temperature,"1641476846,60643","32,95"
E4_Temperature,"1641476846,85644","32,95"
E4_Temperature,"1641476847,10645","32,95"
E4_Temperature,"1641476847,35646","32,95"
E4_Temperature,"1641476847,60648","32,95"
E4_Temperature,"1641476847,85649","32,95"
E4_Temperature,"1641476848,1065","32,95"
E4_Temperature,"1641476848,35651","32,95"
E4_Temperature,"1641476848,60652","32,95"
E4_Temperature,"1641476848,85653","32,95"
E4_Temperature,"1641476849,10654","32,95"
E4_Temperature,"1641476849,35656","32,95"
E4_Temperature,"1641476849,60657","32,93"
E4_Temperature,"1641476849,85658","32,93"
E4_Temperature,"1641476850,10659","32,93"
E4_Temperature,"1641476850,3566","32,93"
E4_Temperature,"1641476850,60661","32,93"
E4_Temperature,"1641476850,85663","32,93"
E4_Temperature,"1641476851,10664","32,93"
E4_Temperature,"1641476851,35665","32,93"
E4_Temperature,"1641476851,60666","32,95"
