ST,time,values
E4_Temperature,"1646468283,52123","31,67"
E4_Temperature,"1646468283,77124","31,67"
E4_Temperature,"1646468284,02125","31,67"
E4_Temperature,"1646468284,27126","31,69"
E4_Temperature,"1646468284,52128","31,69"
E4_Temperature,"1646468284,77129","31,69"
E4_Temperature,"1646468285,0213","31,69"
E4_Temperature,"1646468285,27131","31,63"
E4_Temperature,"1646468285,52132","31,63"
E4_Temperature,"1646468285,77133","31,63"
E4_Temperature,"1646468286,02135","31,63"
E4_Temperature,"1646468286,27136","31,65"
E4_Temperature,"1646468286,52137","31,65"
E4_Temperature,"1646468286,77138","31,65"
E4_Temperature,"1646468287,02139","31,65"
E4_Temperature,"1646468287,2714","31,65"
E4_Temperature,"1646468287,52142","31,65"
E4_Temperature,"1646468287,77143","31,65"
E4_Temperature,"1646468288,02144","31,65"
E4_Temperature,"1646468288,27145","31,65"
E4_Temperature,"1646468288,52146","31,65"
E4_Temperature,"1646468288,77147","31,65"
E4_Temperature,"1646468289,02148","31,65"
E4_Temperature,"1646468289,2715","31,65"
E4_Temperature,"1646468289,52151","31,65"
E4_Temperature,"1646468289,77152","31,65"
E4_Temperature,"1646468290,02153","31,65"
E4_Temperature,"1646468290,27154","31,65"
E4_Temperature,"1646468290,52155","31,65"
E4_Temperature,"1646468290,77157","31,65"
E4_Temperature,"1646468291,02158","31,65"
E4_Temperature,"1646468291,27159","31,63"
E4_Temperature,"1646468291,5216","31,63"
E4_Temperature,"1646468291,77161","31,63"
E4_Temperature,"1646468292,02162","31,63"
E4_Temperature,"1646468292,27164","31,67"
E4_Temperature,"1646468292,52165","31,67"
E4_Temperature,"1646468292,77166","31,67"
E4_Temperature,"1646468293,02167","31,67"
E4_Temperature,"1646468293,27168","31,67"
E4_Temperature,"1646468293,52169","31,67"
E4_Temperature,"1646468293,7717","31,67"
E4_Temperature,"1646468294,02172","31,67"
E4_Temperature,"1646468294,27173","31,65"
E4_Temperature,"1646468294,52174","31,65"
E4_Temperature,"1646468294,77175","31,65"
E4_Temperature,"1646468295,02176","31,65"
E4_Temperature,"1646468295,27177","31,67"
E4_Temperature,"1646468295,52179","31,67"
E4_Temperature,"1646468295,7718","31,67"
E4_Temperature,"1646468296,02181","31,67"
E4_Temperature,"1646468296,27182","31,65"
E4_Temperature,"1646468296,52183","31,65"
E4_Temperature,"1646468296,77184","31,65"
E4_Temperature,"1646468297,02186","31,65"
E4_Temperature,"1646468297,27187","31,63"
E4_Temperature,"1646468297,52188","31,63"
E4_Temperature,"1646468297,77189","31,63"
E4_Temperature,"1646468298,0219","31,63"
E4_Temperature,"1646468298,27191","31,63"
E4_Temperature,"1646468298,52192","31,63"
E4_Temperature,"1646468298,77194","31,63"
E4_Temperature,"1646468299,02195","31,63"
E4_Temperature,"1646468299,27196","31,65"
E4_Temperature,"1646468299,52197","31,65"
E4_Temperature,"1646468299,77198","31,65"
E4_Temperature,"1646468300,02199","31,65"
E4_Temperature,"1646468300,27201","31,63"
E4_Temperature,"1646468300,52202","31,63"
E4_Temperature,"1646468300,77203","31,63"
E4_Temperature,"1646468301,02204","31,63"
E4_Temperature,"1646468301,27205","31,63"
E4_Temperature,"1646468301,52206","31,63"
E4_Temperature,"1646468301,77207","31,63"
E4_Temperature,"1646468302,02209","31,63"
E4_Temperature,"1646468302,2721","31,63"
E4_Temperature,"1646468302,52211","31,63"
E4_Temperature,"1646468302,77212","31,63"
E4_Temperature,"1646468303,02213","31,63"
E4_Temperature,"1646468303,27214","31,63"
E4_Temperature,"1646468303,52216","31,63"
E4_Temperature,"1646468303,77217","31,63"
E4_Temperature,"1646468304,02218","31,63"
