EDA,time,values
E4_Gsr,"1647609470,747","28,9324"
E4_Gsr,"1647609470,997","28,91959"
E4_Gsr,"1647609471,247","28,91062"
E4_Gsr,"1647609471,497","28,92599"
E4_Gsr,"1647609471,747","28,87988"
E4_Gsr,"1647609471,997","28,92856"
E4_Gsr,"1647609472,247","28,91574"
E4_Gsr,"1647609472,497","28,93368"
E4_Gsr,"1647609472,747","28,91959"
E4_Gsr,"1647609472,997","28,92727"
E4_Gsr,"1647609473,247","28,92215"
E4_Gsr,"1647609473,497","28,93624"
E4_Gsr,"1647609473,747","28,94137"
E4_Gsr,"1647609473,997","28,96443"
E4_Gsr,"1647609474,247","28,96955"
E4_Gsr,"1647609474,497","28,97852"
E4_Gsr,"1647609474,747","28,95162"
E4_Gsr,"1647609474,997","28,98364"
E4_Gsr,"1647609475,247","28,96443"
E4_Gsr,"1647609475,497","28,9798"
E4_Gsr,"1647609475,747","28,98364"
E4_Gsr,"1647609475,997","28,99261"
E4_Gsr,"1647609476,247","28,97083"
E4_Gsr,"1647609476,497","29,0003"
E4_Gsr,"1647609476,747","29,02336"
E4_Gsr,"1647609476,997","29,18734"
E4_Gsr,"1647609477,247","29,51426"
E4_Gsr,"1647609477,497","29,60778"
E4_Gsr,"1647609477,747","29,71288"
E4_Gsr,"1647609477,997","29,67573"
E4_Gsr,"1647609478,247","29,37596"
E4_Gsr,"1647609478,497","29,37468"
E4_Gsr,"1647609478,747","29,42976"
E4_Gsr,"1647609478,997","29,4067"
E4_Gsr,"1647609479,247","29,40798"
E4_Gsr,"1647609479,497","29,41567"
E4_Gsr,"1647609479,747","29,43745"
E4_Gsr,"1647609479,997","29,44898"
E4_Gsr,"1647609480,247","29,46051"
E4_Gsr,"1647609480,497","29,42592"
E4_Gsr,"1647609480,747","29,41055"
E4_Gsr,"1647609480,997","29,39645"
E4_Gsr,"1647609481,247","29,38877"
E4_Gsr,"1647609481,497","29,41311"
E4_Gsr,"1647609481,747","29,38877"
E4_Gsr,"1647609481,997","29,39774"
E4_Gsr,"1647609482,247","29,36571"
E4_Gsr,"1647609482,497","29,35674"
E4_Gsr,"1647609482,747","29,3529"
E4_Gsr,"1647609482,997","29,32856"
E4_Gsr,"1647609483,247","29,3119"
E4_Gsr,"1647609483,497","29,31703"
E4_Gsr,"1647609483,747","29,3529"
E4_Gsr,"1647609483,997","29,32343"
