label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-58.4,2.2401298663653,-65.0,-47.0,-59.0,25.09375,3.204223065665912,15.0,34.0,25.0,14.871875,4.274201560665012,8.0,34.0,14.0,10.0,No Stress,No Reaction
20.0,-10.0,20.0,640,-57.4015625,6.570884520090832,-84.0,1.0,-59.0,25.9875,7.623156797666918,-17.0,68.0,26.0,14.1546875,5.95492798876109,2.0,61.0,12.0,20.0,No Stress,No Reaction
30.0,0.0,30.0,960,-50.29895833333333,22.568842636112542,-95.0,49.0,-59.0,13.460416666666667,28.23250878836714,-72.0,68.0,24.0,14.8125,10.137956121794195,-23.0,61.0,14.0,30.0,No Stress,No Reaction
40.0,10.0,40.0,960,-50.67916666666667,22.683412637832028,-95.0,49.0,-59.0,12.127083333333333,27.69373874405393,-72.0,68.0,22.0,15.721875,9.962010249003526,-23.0,61.0,16.0,40.0,No Stress,No Reaction
50.0,20.0,50.0,960,-51.37916666666667,22.30156345102507,-95.0,49.0,-59.0,10.959375,26.47353757009998,-72.0,41.0,22.0,17.179166666666667,8.934659307898087,-23.0,55.0,18.0,50.0,No Stress,No Reaction
60.0,30.0,60.0,960,-58.994791666666664,2.03129169297603,-72.0,-46.0,-59.0,22.173958333333335,2.7366033455812024,5.0,37.0,22.0,17.765625,1.6523328927700127,11.0,25.0,18.0,60.0,Stress,Reaction
70.0,40.0,70.0,960,-59.295833333333334,2.443092309913489,-72.0,-46.0,-59.0,22.077083333333334,3.0956755860439418,2.0,37.0,22.0,16.894791666666666,2.399246918329367,6.0,25.0,17.0,70.0,No Stress,No Reaction
80.0,50.0,80.0,960,-59.532291666666666,2.6879794517805187,-72.0,-46.0,-60.0,21.515625,3.413425866637234,2.0,37.0,21.0,16.841666666666665,2.7101811161448155,6.0,26.0,17.0,80.0,No Stress,Reaction
90.0,60.0,90.0,960,-51.97708333333333,11.479841144100307,-72.0,-29.0,-59.0,30.865625,13.936758158619444,2.0,63.0,22.0,15.5125,3.3361935938305742,4.0,26.0,16.0,90.0,No Stress,Reaction
100.0,70.0,100.0,960,-44.110416666666666,11.136947116112376,-69.0,-28.0,-39.0,40.72083333333333,13.758197227936822,11.0,63.0,49.0,14.596875,3.569800137090248,4.0,26.0,14.0,100.0,No Stress,Reaction
110.0,80.0,110.0,960,-39.75625,5.974830986566868,-57.0,-28.0,-38.0,47.614583333333336,4.961099544416261,33.0,63.0,49.0,13.18125,2.791029593886821,4.0,21.0,13.0,110.0,No Stress,No Reaction
120.0,90.0,120.0,960,-44.126041666666666,7.084161787820048,-63.0,-28.0,-44.0,44.098958333333336,6.520969540810047,21.0,59.0,46.0,11.923958333333333,2.8477986592602353,-12.0,21.0,12.0,120.0,No Stress,No Reaction
130.0,100.0,130.0,960,-45.567708333333336,6.778146734750087,-63.0,-20.0,-46.0,43.096875,6.310689957717781,21.0,62.0,43.0,11.151041666666666,3.3924867853036953,-12.0,25.0,11.0,130.0,No Stress,Reaction
140.0,110.0,140.0,960,-44.365625,6.483528952651856,-63.0,-20.0,-44.0,44.71666666666667,6.134649478709028,21.0,62.0,46.0,9.338541666666666,3.0397049206326914,-12.0,25.0,9.0,140.0,Stress,Reaction
150.0,120.0,150.0,960,-42.325,4.550332580174566,-55.0,-20.0,-42.0,47.098958333333336,3.473060175796885,35.0,62.0,47.0,8.45,2.5621777754629207,-5.0,25.0,8.0,150.0,No Stress,No Reaction
160.0,130.0,160.0,960,-43.369791666666664,2.5844897032908465,-60.0,-26.0,-43.0,46.69479166666667,1.8644285463138688,34.0,56.0,47.0,7.442708333333333,1.7392149291248193,-6.0,22.0,7.0,160.0,Stress,Reaction
170.0,140.0,170.0,960,-44.514583333333334,2.944710503825155,-60.0,-26.0,-44.0,45.822916666666664,2.231609077644602,34.0,56.0,46.0,6.7875,1.9681112619769072,-6.0,22.0,7.0,170.0,No Stress,No Reaction
180.0,150.0,180.0,960,-44.561458333333334,3.1121501538515424,-63.0,-26.0,-44.0,45.81458333333333,2.4683599130617377,29.0,60.0,46.0,6.709375,2.19533955725239,-6.0,22.0,7.0,180.0,No Stress,No Reaction
190.0,160.0,190.0,960,-43.97604166666667,3.0930054897591472,-63.0,-31.0,-44.0,45.87291666666667,2.4414938915882,29.0,60.0,46.0,8.4125,3.474718764172699,-3.0,21.0,8.0,190.0,No Stress,No Reaction
200.0,170.0,200.0,960,-43.09583333333333,3.4485921223014047,-65.0,-31.0,-42.0,46.01354166666667,2.9463085470756,26.0,60.0,47.0,10.686458333333333,3.4837061453465727,0.0,22.0,11.0,200.0,No Stress,Reaction
210.0,180.0,210.0,960,-44.90416666666667,4.824466595220413,-69.0,-35.0,-44.0,43.96875,4.324079883681477,24.0,54.0,46.0,11.9125,2.9709490168092194,-6.0,29.0,12.0,210.0,No Stress,No Reaction
220.0,190.0,220.0,960,-43.21875,6.961840163112462,-69.0,-24.0,-42.0,44.890625,5.664730502256115,24.0,61.0,46.0,12.526041666666666,3.4912894675653847,-6.0,31.0,13.0,220.0,Stress,No Reaction
230.0,200.0,230.0,960,-41.378125,7.351146451060722,-69.0,-23.0,-40.0,45.822916666666664,5.6428178194975365,24.0,61.0,47.0,14.135416666666666,4.16254662483112,-6.0,31.0,14.0,230.0,No Stress,Reaction
