ST,time,values
E4_Temperature,"1647605302,71649","33,49"
E4_Temperature,"1647605302,9665","33,49"
E4_Temperature,"1647605303,21651","33,49"
E4_Temperature,"1647605303,46652","33,49"
E4_Temperature,"1647605303,71654","33,49"
E4_Temperature,"1647605303,96655","33,49"
E4_Temperature,"1647605304,21656","33,49"
E4_Temperature,"1647605304,46657","33,51"
E4_Temperature,"1647605304,71658","33,51"
E4_Temperature,"1647605304,96659","33,51"
E4_Temperature,"1647605305,21661","33,51"
E4_Temperature,"1647605305,46662","33,51"
E4_Temperature,"1647605305,71663","33,51"
E4_Temperature,"1647605305,96664","33,51"
E4_Temperature,"1647605306,21665","33,51"
E4_Temperature,"1647605306,46666","33,49"
E4_Temperature,"1647605306,71668","33,49"
E4_Temperature,"1647605306,96669","33,49"
E4_Temperature,"1647605307,2167","33,49"
E4_Temperature,"1647605307,46671","33,51"
E4_Temperature,"1647605307,71672","33,51"
E4_Temperature,"1647605307,96673","33,51"
E4_Temperature,"1647605308,21674","33,51"
E4_Temperature,"1647605308,46676","33,51"
E4_Temperature,"1647605308,71677","33,51"
E4_Temperature,"1647605308,96678","33,51"
E4_Temperature,"1647605309,21679","33,51"
E4_Temperature,"1647605309,4668","33,51"
E4_Temperature,"1647605309,71681","33,51"
E4_Temperature,"1647605309,96683","33,51"
E4_Temperature,"1647605310,21684","33,51"
E4_Temperature,"1647605310,46685","33,51"
E4_Temperature,"1647605310,71686","33,51"
E4_Temperature,"1647605310,96687","33,51"
E4_Temperature,"1647605311,21688","33,51"
E4_Temperature,"1647605311,4669","33,51"
E4_Temperature,"1647605311,71691","33,51"
E4_Temperature,"1647605311,96692","33,51"
E4_Temperature,"1647605312,21693","33,51"
E4_Temperature,"1647605312,46694","33,49"
E4_Temperature,"1647605312,71695","33,49"
E4_Temperature,"1647605312,96696","33,49"
E4_Temperature,"1647605313,21698","33,49"
E4_Temperature,"1647605313,46699","33,51"
E4_Temperature,"1647605313,717","33,51"
E4_Temperature,"1647605313,96701","33,51"
E4_Temperature,"1647605314,21702","33,51"
E4_Temperature,"1647605314,46703","33,53"
E4_Temperature,"1647605314,71705","33,53"
E4_Temperature,"1647605314,96706","33,53"
E4_Temperature,"1647605315,21707","33,53"
E4_Temperature,"1647605315,46708","33,51"
E4_Temperature,"1647605315,71709","33,51"
E4_Temperature,"1647605315,9671","33,51"
E4_Temperature,"1647605316,21712","33,51"
E4_Temperature,"1647605316,46713","33,51"
E4_Temperature,"1647605316,71714","33,51"
E4_Temperature,"1647605316,96715","33,51"
E4_Temperature,"1647605317,21716","33,51"
E4_Temperature,"1647605317,46717","33,51"
E4_Temperature,"1647605317,71718","33,51"
E4_Temperature,"1647605317,9672","33,51"
E4_Temperature,"1647605318,21721","33,51"
E4_Temperature,"1647605318,46722","33,51"
E4_Temperature,"1647605318,71723","33,51"
E4_Temperature,"1647605318,96724","33,51"
E4_Temperature,"1647605319,21725","33,51"
E4_Temperature,"1647605319,46727","33,53"
E4_Temperature,"1647605319,71728","33,53"
E4_Temperature,"1647605319,96729","33,53"
E4_Temperature,"1647605320,2173","33,53"
E4_Temperature,"1647605320,46731","33,51"
E4_Temperature,"1647605320,71732","33,51"
E4_Temperature,"1647605320,96733","33,51"
E4_Temperature,"1647605321,21735","33,51"
E4_Temperature,"1647605321,46736","33,53"
E4_Temperature,"1647605321,71737","33,53"
E4_Temperature,"1647605321,96738","33,53"
E4_Temperature,"1647605322,21739","33,53"
E4_Temperature,"1647605322,4674","33,51"
E4_Temperature,"1647605322,71742","33,51"
E4_Temperature,"1647605322,96743","33,51"
E4_Temperature,"1647605323,21744","33,51"
E4_Temperature,"1647605323,46745","33,53"
E4_Temperature,"1647605323,71746","33,53"
E4_Temperature,"1647605323,96747","33,53"
E4_Temperature,"1647605324,21749","33,53"
E4_Temperature,"1647605324,4675","33,53"
E4_Temperature,"1647605324,71751","33,53"
E4_Temperature,"1647605324,96752","33,53"
E4_Temperature,"1647605325,21753","33,53"
E4_Temperature,"1647605325,46754","33,53"
E4_Temperature,"1647605325,71756","33,53"
E4_Temperature,"1647605325,96757","33,53"
E4_Temperature,"1647605326,21758","33,53"
E4_Temperature,"1647605326,46759","33,55"
E4_Temperature,"1647605326,7176","33,55"
E4_Temperature,"1647605326,96761","33,55"
E4_Temperature,"1647605327,21762","33,55"
E4_Temperature,"1647605327,46764","33,53"
E4_Temperature,"1647605327,71765","33,53"
E4_Temperature,"1647605327,96766","33,53"
E4_Temperature,"1647605328,21767","33,53"
