BVP,time,values
E4_Bvp,"1649403479,79791","23,51883"
E4_Bvp,"1649403479,81354","21,49289"
E4_Bvp,"1649403479,82916","20,42885"
E4_Bvp,"1649403479,84479","20,27413"
E4_Bvp,"1649403479,86042","20,62112"
E4_Bvp,"1649403479,87604","20,94141"
E4_Bvp,"1649403479,89167","20,8805"
E4_Bvp,"1649403479,90729","20,4056"
E4_Bvp,"1649403479,92292","19,71065"
E4_Bvp,"1649403479,93854","18,97982"
E4_Bvp,"1649403479,95417","18,22214"
E4_Bvp,"1649403479,9698","17,26801"
E4_Bvp,"1649403479,98542","15,91478"
E4_Bvp,"1649403480,00105","14,11028"
E4_Bvp,"1649403480,01667","12,012"
E4_Bvp,"1649403480,0323","9,840698"
E4_Bvp,"1649403480,04792","7,74107"
E4_Bvp,"1649403480,06355","5,671154"
E4_Bvp,"1649403480,07918","3,454308"
E4_Bvp,"1649403480,0948","0,8997116"
E4_Bvp,"1649403480,11043","-2,004929"
E4_Bvp,"1649403480,12605","-5,220287"
E4_Bvp,"1649403480,14168","-8,594799"
E4_Bvp,"1649403480,1573","-11,98742"
E4_Bvp,"1649403480,17293","-15,28959"
E4_Bvp,"1649403480,18856","-18,36126"
E4_Bvp,"1649403480,20418","-21,19158"
E4_Bvp,"1649403480,21981","-23,81291"
E4_Bvp,"1649403480,23543","-26,39495"
E4_Bvp,"1649403480,25106","-29,22811"
E4_Bvp,"1649403480,26668","-32,61287"
E4_Bvp,"1649403480,28231","-36,75045"
E4_Bvp,"1649403480,29794","-41,48851"
E4_Bvp,"1649403480,31356","-46,21082"
E4_Bvp,"1649403480,32919","-49,88947"
E4_Bvp,"1649403480,34481","-51,36469"
E4_Bvp,"1649403480,36044","-49,71749"
E4_Bvp,"1649403480,37606","-44,63834"
E4_Bvp,"1649403480,39169","-36,58929"
E4_Bvp,"1649403480,40732","-26,64562"
E4_Bvp,"1649403480,42294","-16,14754"
E4_Bvp,"1649403480,43857","-6,237339"
E4_Bvp,"1649403480,45419","2,423058"
E4_Bvp,"1649403480,46982","9,654224"
E4_Bvp,"1649403480,48544","15,5657"
E4_Bvp,"1649403480,50107","20,26293"
E4_Bvp,"1649403480,5167","23,73877"
E4_Bvp,"1649403480,53232","25,88913"
E4_Bvp,"1649403480,54795","26,69143"
E4_Bvp,"1649403480,56357","26,37035"
E4_Bvp,"1649403480,5792","25,39406"
E4_Bvp,"1649403480,59482","24,36701"
E4_Bvp,"1649403480,61045","23,81303"
E4_Bvp,"1649403480,62608","23,94927"
E4_Bvp,"1649403480,6417","24,64062"
E4_Bvp,"1649403480,65733","25,47244"
E4_Bvp,"1649403480,67295","26,02956"
E4_Bvp,"1649403480,68858","26,11393"
E4_Bvp,"1649403480,7042","25,81502"
E4_Bvp,"1649403480,71983","25,40708"
E4_Bvp,"1649403480,73546","25,0909"
E4_Bvp,"1649403480,75108","24,84437"
E4_Bvp,"1649403480,76671","24,39884"
E4_Bvp,"1649403480,78233","23,39612"
E4_Bvp,"1649403480,79796","21,60336"
E4_Bvp,"1649403480,81358","19,02989"
E4_Bvp,"1649403480,82921","15,94253"
E4_Bvp,"1649403480,84484","12,76398"
E4_Bvp,"1649403480,86046","9,864693"
E4_Bvp,"1649403480,87609","7,442825"
E4_Bvp,"1649403480,89171","5,414497"
E4_Bvp,"1649403480,90734","3,503029"
E4_Bvp,"1649403480,92296","1,360653"
E4_Bvp,"1649403480,93859","-1,273064"
E4_Bvp,"1649403480,95422","-4,439533"
E4_Bvp,"1649403480,96984","-7,994762"
E4_Bvp,"1649403480,98547","-11,62641"
E4_Bvp,"1649403481,00109","-15,01062"
E4_Bvp,"1649403481,01672","-17,96479"
E4_Bvp,"1649403481,03234","-20,51475"
E4_Bvp,"1649403481,04797","-22,88406"
E4_Bvp,"1649403481,0636","-25,36698"
E4_Bvp,"1649403481,07922","-28,23534"
E4_Bvp,"1649403481,09485","-31,68691"
E4_Bvp,"1649403481,11047","-35,78601"
E4_Bvp,"1649403481,1261","-40,3992"
E4_Bvp,"1649403481,14172","-45,06319"
E4_Bvp,"1649403481,15735","-48,9416"
E4_Bvp,"1649403481,17298","-50,93551"
E4_Bvp,"1649403481,1886","-49,98386"
E4_Bvp,"1649403481,20423","-45,50764"
E4_Bvp,"1649403481,21985","-37,69362"
E4_Bvp,"1649403481,23548","-27,51133"
E4_Bvp,"1649403481,25111","-16,40063"
E4_Bvp,"1649403481,26673","-5,7621"
E4_Bvp,"1649403481,28236","3,431671"
E4_Bvp,"1649403481,29798","10,79803"
E4_Bvp,"1649403481,31361","16,41292"
E4_Bvp,"1649403481,32923","20,48994"
E4_Bvp,"1649403481,34486","23,17849"
E4_Bvp,"1649403481,36049","24,5022"
E4_Bvp,"1649403481,37611","24,53828"
E4_Bvp,"1649403481,39174","23,56273"
E4_Bvp,"1649403481,40736","22,08041"
E4_Bvp,"1649403481,42299","20,71021"
E4_Bvp,"1649403481,43861","19,93622"
E4_Bvp,"1649403481,45424","19,99291"
E4_Bvp,"1649403481,46987","20,78783"
E4_Bvp,"1649403481,48549","21,97946"
E4_Bvp,"1649403481,50112","23,13055"
E4_Bvp,"1649403481,51674","23,86072"
E4_Bvp,"1649403481,53237","23,96497"
E4_Bvp,"1649403481,54799","23,4263"
E4_Bvp,"1649403481,56362","22,36866"
E4_Bvp,"1649403481,57925","21,03205"
E4_Bvp,"1649403481,59487","19,55064"
E4_Bvp,"1649403481,6105","18,0107"
E4_Bvp,"1649403481,62612","16,34708"
E4_Bvp,"1649403481,64175","14,39519"
E4_Bvp,"1649403481,65737","12,06512"
E4_Bvp,"1649403481,673","9,35318"
E4_Bvp,"1649403481,68863","6,423042"
E4_Bvp,"1649403481,70425","3,402771"
E4_Bvp,"1649403481,71988","0,2517853"
E4_Bvp,"1649403481,7355","-3,214516"
E4_Bvp,"1649403481,75113","-7,189026"
E4_Bvp,"1649403481,76675","-11,61729"
E4_Bvp,"1649403481,78238","-16,21016"
E4_Bvp,"1649403481,79801","-20,59078"
E4_Bvp,"1649403481,81363","-24,57299"
E4_Bvp,"1649403481,82926","-28,23453"
E4_Bvp,"1649403481,84488","-31,80435"
E4_Bvp,"1649403481,86051","-35,32805"
E4_Bvp,"1649403481,87613","-38,41402"
E4_Bvp,"1649403481,89176","-40,22882"
E4_Bvp,"1649403481,90739","-39,8066"
E4_Bvp,"1649403481,92301","-36,51951"
E4_Bvp,"1649403481,93864","-30,37465"
E4_Bvp,"1649403481,95426","-22,0411"
E4_Bvp,"1649403481,96989","-12,56441"
E4_Bvp,"1649403481,98551","-2,987061"
E4_Bvp,"1649403482,00114","5,897644"
E4_Bvp,"1649403482,01677","13,6376"
E4_Bvp,"1649403482,03239","19,97139"
E4_Bvp,"1649403482,04802","24,73576"
E4_Bvp,"1649403482,06364","27,80667"
E4_Bvp,"1649403482,07927","29,22265"
E4_Bvp,"1649403482,09489","29,09229"
E4_Bvp,"1649403482,11052","27,76391"
E4_Bvp,"1649403482,12615","25,72814"
E4_Bvp,"1649403482,14177","23,55825"
E4_Bvp,"1649403482,1574","21,81425"
E4_Bvp,"1649403482,17302","20,81955"
E4_Bvp,"1649403482,18865","20,6123"
E4_Bvp,"1649403482,20427","20,92691"
E4_Bvp,"1649403482,2199","21,31466"
E4_Bvp,"1649403482,23553","21,32556"
E4_Bvp,"1649403482,25115","20,6581"
E4_Bvp,"1649403482,26678","19,28492"
E4_Bvp,"1649403482,2824","17,3665"
E4_Bvp,"1649403482,29803","15,18273"
E4_Bvp,"1649403482,31365","12,94228"
E4_Bvp,"1649403482,32928","10,75661"
E4_Bvp,"1649403482,34491","8,574707"
E4_Bvp,"1649403482,36053","6,267372"
E4_Bvp,"1649403482,37616","3,637863"
E4_Bvp,"1649403482,39178","0,535408"
E4_Bvp,"1649403482,40741","-3,052422"
E4_Bvp,"1649403482,42303","-6,99279"
E4_Bvp,"1649403482,43866","-11,02134"
E4_Bvp,"1649403482,45429","-14,85001"
E4_Bvp,"1649403482,46991","-18,2839"
E4_Bvp,"1649403482,48554","-21,30815"
E4_Bvp,"1649403482,50116","-24,09339"
E4_Bvp,"1649403482,51679","-26,98497"
E4_Bvp,"1649403482,53241","-30,38193"
E4_Bvp,"1649403482,54804","-34,62836"
E4_Bvp,"1649403482,56367","-39,8101"
E4_Bvp,"1649403482,57929","-45,64774"
E4_Bvp,"1649403482,59492","-51,44418"
E4_Bvp,"1649403482,61054","-56,15433"
E4_Bvp,"1649403482,62617","-58,66516"
E4_Bvp,"1649403482,64179","-58,04657"
E4_Bvp,"1649403482,65742","-53,88555"
E4_Bvp,"1649403482,67305","-46,41979"
E4_Bvp,"1649403482,68867","-36,49315"
E4_Bvp,"1649403482,7043","-25,34212"
E4_Bvp,"1649403482,71992","-14,20432"
E4_Bvp,"1649403482,73555","-4,000443"
E4_Bvp,"1649403482,75117","4,79731"
E4_Bvp,"1649403482,7668","12,09458"
E4_Bvp,"1649403482,78243","17,95167"
E4_Bvp,"1649403482,79805","22,42264"
E4_Bvp,"1649403482,81368","25,54056"
E4_Bvp,"1649403482,8293","27,36894"
E4_Bvp,"1649403482,84493","28,1058"
E4_Bvp,"1649403482,86055","28,09055"
E4_Bvp,"1649403482,87618","27,76872"
E4_Bvp,"1649403482,89181","27,54776"
E4_Bvp,"1649403482,90743","27,6277"
E4_Bvp,"1649403482,92306","27,98782"
E4_Bvp,"1649403482,93868","28,37694"
E4_Bvp,"1649403482,95431","28,53282"
E4_Bvp,"1649403482,96993","28,32274"
E4_Bvp,"1649403482,98556","27,77655"
E4_Bvp,"1649403483,00119","27,07407"
E4_Bvp,"1649403483,01681","26,37209"
E4_Bvp,"1649403483,03244","25,68163"
E4_Bvp,"1649403483,04806","24,81029"
