EDA,time,values
E4_Gsr,"1649405396,015","12,48892"
E4_Gsr,"1649405396,265","12,4838"
E4_Gsr,"1649405396,515","12,46971"
E4_Gsr,"1649405396,765","12,47611"
E4_Gsr,"1649405397,015","12,46971"
E4_Gsr,"1649405397,265","12,49148"
E4_Gsr,"1649405397,515","12,50429"
E4_Gsr,"1649405397,765","12,52607"
E4_Gsr,"1649405398,015","12,52863"
E4_Gsr,"1649405398,265","12,53119"
E4_Gsr,"1649405398,515","12,52607"
E4_Gsr,"1649405398,765","12,5171"
E4_Gsr,"1649405399,015","12,51838"
E4_Gsr,"1649405399,265","12,52479"
E4_Gsr,"1649405399,515","12,55425"
E4_Gsr,"1649405399,765","12,57986"
E4_Gsr,"1649405400,015","12,61317"
E4_Gsr,"1649405400,265","12,62469"
E4_Gsr,"1649405400,515","12,63366"
E4_Gsr,"1649405400,765","12,63494"
E4_Gsr,"1649405401,015","12,6311"
E4_Gsr,"1649405401,265","12,62982"
E4_Gsr,"1649405401,515","12,63238"
E4_Gsr,"1649405401,765","12,65544"
E4_Gsr,"1649405402,015","12,6644"
E4_Gsr,"1649405402,265","12,65544"
E4_Gsr,"1649405402,515","12,64775"
E4_Gsr,"1649405402,765","12,64775"
E4_Gsr,"1649405403,015","12,67209"
E4_Gsr,"1649405403,265","12,67849"
E4_Gsr,"1649405403,515","12,69899"
E4_Gsr,"1649405403,765","12,71564"
E4_Gsr,"1649405404,015","12,72332"
E4_Gsr,"1649405404,265","12,74253"
E4_Gsr,"1649405404,515","12,75406"
E4_Gsr,"1649405404,765","12,76303"
E4_Gsr,"1649405405,015","12,76047"
E4_Gsr,"1649405405,265","12,76431"
E4_Gsr,"1649405405,515","12,7515"
E4_Gsr,"1649405405,765","12,7515"
E4_Gsr,"1649405406,015","12,74766"
E4_Gsr,"1649405406,265","12,74894"
E4_Gsr,"1649405406,515","12,7784"
E4_Gsr,"1649405406,765","12,80914"
E4_Gsr,"1649405407,015","12,83988"
E4_Gsr,"1649405407,265","12,85781"
E4_Gsr,"1649405407,515","12,87446"
E4_Gsr,"1649405407,765","12,86806"
E4_Gsr,"1649405408,015","12,89496"
E4_Gsr,"1649405408,265","12,87703"
E4_Gsr,"1649405408,515","12,88343"
E4_Gsr,"1649405408,765","12,90777"
E4_Gsr,"1649405409,015","12,95516"
E4_Gsr,"1649405409,265","13,03387"
E4_Gsr,"1649405409,515","13,08127"
E4_Gsr,"1649405409,765","13,10816"
E4_Gsr,"1649405410,015","13,11329"
E4_Gsr,"1649405410,265","13,10176"
E4_Gsr,"1649405410,515","13,08383"
E4_Gsr,"1649405410,765","13,06461"
E4_Gsr,"1649405411,015","13,07102"
E4_Gsr,"1649405411,265","13,06718"
E4_Gsr,"1649405411,515","13,0723"
E4_Gsr,"1649405411,765","13,09407"
E4_Gsr,"1649405412,015","13,08767"
E4_Gsr,"1649405412,265","13,09023"
E4_Gsr,"1649405412,515","13,08767"
E4_Gsr,"1649405412,765","13,08895"
E4_Gsr,"1649405413,015","13,08383"
E4_Gsr,"1649405413,265","13,09407"
E4_Gsr,"1649405413,515","13,08255"
E4_Gsr,"1649405413,765","13,09536"
E4_Gsr,"1649405414,015","13,10816"
E4_Gsr,"1649405414,265","13,15299"
E4_Gsr,"1649405414,515","13,1863"
E4_Gsr,"1649405414,765","13,22344"
E4_Gsr,"1649405415,015","13,26187"
E4_Gsr,"1649405415,265","13,27211"
E4_Gsr,"1649405415,515","13,2798"
E4_Gsr,"1649405415,765","13,27724"
E4_Gsr,"1649405416,015","13,29261"
E4_Gsr,"1649405416,265","13,30542"
E4_Gsr,"1649405416,515","13,32079"
E4_Gsr,"1649405416,765","13,33872"
E4_Gsr,"1649405417,015","13,35537"
E4_Gsr,"1649405417,265","13,35793"
E4_Gsr,"1649405417,515","13,36306"
E4_Gsr,"1649405417,765","13,37586"
E4_Gsr,"1649405418,015","13,41045"
E4_Gsr,"1649405418,265","13,44247"
E4_Gsr,"1649405418,515","13,43094"
E4_Gsr,"1649405418,765","13,43094"
E4_Gsr,"1649405419,015","13,43222"
E4_Gsr,"1649405419,265","13,44759"
E4_Gsr,"1649405419,515","13,52765"
E4_Gsr,"1649405419,765","13,56352"
E4_Gsr,"1649405420,015","13,58785"
E4_Gsr,"1649405420,265","13,5981"
E4_Gsr,"1649405420,515","13,59042"
E4_Gsr,"1649405420,765","13,59682"
E4_Gsr,"1649405421,015","13,59298"
E4_Gsr,"1649405421,265","13,71338"
E4_Gsr,"1649405421,515","13,67495"
E4_Gsr,"1649405421,765","13,62884"
E4_Gsr,"1649405422,015","13,59938"
E4_Gsr,"1649405422,265","13,58657"
E4_Gsr,"1649405422,515","13,61475"
E4_Gsr,"1649405422,765","13,68008"
E4_Gsr,"1649405423,015","13,71594"
E4_Gsr,"1649405423,265","13,73259"
E4_Gsr,"1649405423,515","13,76846"
E4_Gsr,"1649405423,765","13,74924"
E4_Gsr,"1649405424,015","13,76333"
E4_Gsr,"1649405424,265","13,74028"
E4_Gsr,"1649405424,515","13,74412"
E4_Gsr,"1649405424,765","13,72363"
E4_Gsr,"1649405425,015","13,71466"
E4_Gsr,"1649405425,265","13,71466"
E4_Gsr,"1649405425,515","13,73131"
E4_Gsr,"1649405425,765","13,74796"
E4_Gsr,"1649405426,015","13,77102"
E4_Gsr,"1649405426,265","13,77102"
E4_Gsr,"1649405426,515","13,79535"
E4_Gsr,"1649405426,765","13,79407"
E4_Gsr,"1649405427,015","13,77998"
E4_Gsr,"1649405427,265","13,78767"
E4_Gsr,"1649405427,515","13,78767"
E4_Gsr,"1649405427,765","13,79663"
E4_Gsr,"1649405428,015","13,80944"
E4_Gsr,"1649405428,265","13,82994"
E4_Gsr,"1649405428,515","13,81585"
E4_Gsr,"1649405428,765","13,84787"
E4_Gsr,"1649405429,015","13,87605"
