EDA,time,values
E4_Gsr,"1647605905,497","6,178695"
E4_Gsr,"1647605905,747","6,17357"
E4_Gsr,"1647605905,997","6,178695"
E4_Gsr,"1647605906,247","6,177413"
E4_Gsr,"1647605906,497","6,169727"
E4_Gsr,"1647605906,747","6,155635"
E4_Gsr,"1647605906,997","6,149229"
E4_Gsr,"1647605907,247","6,137699"
E4_Gsr,"1647605907,497","6,12745"
E4_Gsr,"1647605907,747","6,117202"
E4_Gsr,"1647605907,997","6,113358"
E4_Gsr,"1647605908,247","6,105672"
E4_Gsr,"1647605908,497","6,110796"
E4_Gsr,"1647605908,747","6,101829"
E4_Gsr,"1647605908,997","6,113358"
E4_Gsr,"1647605909,247","6,105672"
E4_Gsr,"1647605909,497","6,113358"
E4_Gsr,"1647605909,747","6,100547"
E4_Gsr,"1647605909,997","6,110796"
E4_Gsr,"1647605910,247","6,121045"
E4_Gsr,"1647605910,497","6,121045"
E4_Gsr,"1647605910,747","6,123607"
E4_Gsr,"1647605910,997","6,118483"
E4_Gsr,"1647605911,247","6,109515"
E4_Gsr,"1647605911,497","6,094142"
E4_Gsr,"1647605911,747","6,085174"
E4_Gsr,"1647605911,997","6,078769"
E4_Gsr,"1647605912,247","6,059552"
E4_Gsr,"1647605912,497","6,051866"
E4_Gsr,"1647605912,747","6,037774"
E4_Gsr,"1647605912,997","6,024962"
E4_Gsr,"1647605913,247","6,015995"
E4_Gsr,"1647605913,497","6,008308"
E4_Gsr,"1647605913,747","6,017276"
E4_Gsr,"1647605913,997","6,018557"
E4_Gsr,"1647605914,247","6,031368"
E4_Gsr,"1647605914,497","6,026244"
E4_Gsr,"1647605914,747","6,04546"
E4_Gsr,"1647605914,997","6,054428"
E4_Gsr,"1647605915,247","6,072363"
E4_Gsr,"1647605915,497","6,069801"
E4_Gsr,"1647605915,747","6,073644"
E4_Gsr,"1647605915,997","6,063396"
E4_Gsr,"1647605916,247","6,059552"
E4_Gsr,"1647605916,497","6,055709"
E4_Gsr,"1647605916,747","6,055709"
E4_Gsr,"1647605916,997","6,046741"
E4_Gsr,"1647605917,247","6,040336"
E4_Gsr,"1647605917,497","6,032649"
E4_Gsr,"1647605917,747","6,03393"
E4_Gsr,"1647605917,997","6,028806"
E4_Gsr,"1647605918,247","6,026244"
E4_Gsr,"1647605918,497","6,01087"
E4_Gsr,"1647605918,747","5,999341"
E4_Gsr,"1647605918,997","5,991654"
E4_Gsr,"1647605919,247","5,983967"
E4_Gsr,"1647605919,497","5,989092"
E4_Gsr,"1647605919,747","5,980124"
E4_Gsr,"1647605919,997","6,009589"
E4_Gsr,"1647605920,247","6,041617"
E4_Gsr,"1647605920,497","6,090299"
E4_Gsr,"1647605920,747","6,126169"
E4_Gsr,"1647605920,997","6,16204"
E4_Gsr,"1647605921,247","6,165884"
E4_Gsr,"1647605921,497","6,160759"
E4_Gsr,"1647605921,747","6,151792"
E4_Gsr,"1647605921,997","6,131294"
E4_Gsr,"1647605922,247","6,112077"
E4_Gsr,"1647605922,497","6,08005"
E4_Gsr,"1647605922,747","6,060833"
E4_Gsr,"1647605922,997","6,053147"
E4_Gsr,"1647605923,247","6,039055"
E4_Gsr,"1647605923,497","6,035212"
E4_Gsr,"1647605923,747","6,046741"
E4_Gsr,"1647605923,997","6,058271"
E4_Gsr,"1647605924,247","6,067239"
E4_Gsr,"1647605924,497","6,062114"
E4_Gsr,"1647605924,747","6,06852"
E4_Gsr,"1647605924,997","6,062114"
E4_Gsr,"1647605925,247","6,053147"
E4_Gsr,"1647605925,497","6,031368"
E4_Gsr,"1647605925,747","6,021119"
E4_Gsr,"1647605925,997","6,008308"
E4_Gsr,"1647605926,247","6,005746"
E4_Gsr,"1647605926,497","5,998059"
E4_Gsr,"1647605926,747","6,019838"
E4_Gsr,"1647605926,997","6,0224"
E4_Gsr,"1647605927,247","6,024962"
E4_Gsr,"1647605927,497","6,042898"
E4_Gsr,"1647605927,747","6,074925"
E4_Gsr,"1647605927,997","6,106953"
E4_Gsr,"1647605928,247","6,159478"
E4_Gsr,"1647605928,497","6,203035"
E4_Gsr,"1647605928,747","6,232501"
E4_Gsr,"1647605928,997","6,24275"
E4_Gsr,"1647605929,247","6,256842"
E4_Gsr,"1647605929,497","6,249155"
E4_Gsr,"1647605929,747","6,24403"
E4_Gsr,"1647605929,997","6,220971"
E4_Gsr,"1647605930,247","6,201754"
E4_Gsr,"1647605930,497","6,192787"
E4_Gsr,"1647605930,747","6,188943"
E4_Gsr,"1647605930,997","6,200473"
E4_Gsr,"1647605931,247","6,21969"
E4_Gsr,"1647605931,497","6,250436"
E4_Gsr,"1647605931,747","6,268372"
E4_Gsr,"1647605931,997","6,281182"
E4_Gsr,"1647605932,247","6,273496"
E4_Gsr,"1647605932,497","6,269652"
E4_Gsr,"1647605932,747","6,259404"
E4_Gsr,"1647605932,997","6,229939"
E4_Gsr,"1647605933,247","6,201754"
E4_Gsr,"1647605933,497","6,190225"
E4_Gsr,"1647605933,747","6,17357"
E4_Gsr,"1647605933,997","6,179976"
E4_Gsr,"1647605934,247","6,183819"
E4_Gsr,"1647605934,497","6,192787"
E4_Gsr,"1647605934,747","6,195349"
E4_Gsr,"1647605934,997","6,194067"
E4_Gsr,"1647605935,247","6,197911"
E4_Gsr,"1647605935,497","6,195349"
E4_Gsr,"1647605935,747","6,186381"
E4_Gsr,"1647605935,997","6,177413"
E4_Gsr,"1647605936,247","6,168446"
E4_Gsr,"1647605936,497","6,160759"
E4_Gsr,"1647605936,747","6,153072"
E4_Gsr,"1647605936,997","6,145386"
E4_Gsr,"1647605937,247","6,147948"
E4_Gsr,"1647605937,497","6,149229"
E4_Gsr,"1647605937,747","6,16204"
E4_Gsr,"1647605937,997","6,17357"
E4_Gsr,"1647605938,247","6,17357"
E4_Gsr,"1647605938,497","6,164602"
E4_Gsr,"1647605938,747","6,160759"
E4_Gsr,"1647605938,997","6,144105"
E4_Gsr,"1647605939,247","6,135137"
E4_Gsr,"1647605939,497","6,115921"
E4_Gsr,"1647605939,747","6,11464"
E4_Gsr,"1647605939,997","6,122326"
E4_Gsr,"1647605940,247","6,146667"
E4_Gsr,"1647605940,497","6,199192"
E4_Gsr,"1647605940,747","6,261966"
E4_Gsr,"1647605940,997","6,323459"
E4_Gsr,"1647605941,247","6,368297"
E4_Gsr,"1647605941,497","6,378546"
E4_Gsr,"1647605941,747","6,379827"
