label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
10.0,-20.0,10.0,320,-28.034375,0.27782109554266504,-29.0,-27.0,-28.0,-4.528125,0.4999902036657873,-5.0,-4.0,-5.0,56.975,0.1563694684339216,56.0,57.0,57.0,10.0,No Stress,No Reaction
20.0,-10.0,20.0,640,-28.084375,0.3824060022381066,-30.0,-26.0,-28.0,-4.6390625,0.5091086406467883,-6.0,-3.0,-5.0,56.9453125,0.22754709395793457,56.0,57.0,57.0,20.0,No Stress,No Reaction
30.0,0.0,30.0,960,-28.613541666666666,1.4103830517976503,-38.0,-20.0,-28.0,-4.892708333333333,0.8494302564156899,-9.0,-1.0,-5.0,56.66354166666667,0.7671052247187176,53.0,58.0,57.0,30.0,No Stress,No Reaction
40.0,10.0,40.0,960,-30.163541666666667,2.313609361521484,-38.0,-20.0,-29.0,-6.078125,1.8383984010321655,-17.0,-1.0,-5.0,55.77291666666667,1.3830856049985691,50.0,58.0,56.0,40.0,Stress,Reaction
50.0,20.0,50.0,960,-31.476041666666667,2.107004297536347,-40.0,-20.0,-32.0,-7.482291666666667,2.1637112707868065,-17.0,-1.0,-8.0,54.96145833333333,1.425074850615746,47.0,61.0,55.0,50.0,No Stress,Reaction
60.0,30.0,60.0,960,-33.53958333333333,2.5935059335692983,-43.0,-25.0,-33.0,-8.685416666666667,1.8468460371723239,-17.0,1.0,-9.0,53.7375,1.6871748325342626,47.0,61.0,54.0,60.0,No Stress,No Reaction
70.0,40.0,70.0,960,-34.66041666666667,2.983321002803738,-46.0,-23.0,-35.0,-9.791666666666666,2.3791616484512446,-25.0,1.0,-10.0,52.940625,1.956677725529931,43.0,61.0,53.0,70.0,Stress,Reaction
80.0,50.0,80.0,960,-35.567708333333336,2.9506894544944555,-47.0,-19.0,-36.0,-9.510416666666666,3.1016655745121855,-25.0,11.0,-10.0,52.44375,1.755361962797974,43.0,59.0,52.0,80.0,Stress,Reaction
90.0,60.0,90.0,960,-37.353125,5.073114090433688,-62.0,-15.0,-36.0,-9.320833333333333,3.539613944375465,-25.0,11.0,-10.0,51.125,3.733427055777754,27.0,67.0,52.0,90.0,Stress,Reaction
100.0,70.0,100.0,960,-34.828125,8.090509935516058,-62.0,4.0,-35.0,-6.702083333333333,3.9160635245078104,-25.0,11.0,-7.0,52.503125,4.800068498055742,27.0,67.0,53.0,100.0,No Stress,No Reaction
110.0,80.0,110.0,960,-33.880208333333336,7.9930381568189866,-62.0,4.0,-32.0,-5.280208333333333,3.3320924980203093,-25.0,8.0,-4.0,53.17604166666667,4.869437037040215,27.0,67.0,55.0,110.0,No Stress,No Reaction
120.0,90.0,120.0,960,-28.552083333333332,8.406350684971505,-52.0,9.0,-31.0,-4.2875,2.1186519608909014,-15.0,8.0,-4.0,56.001041666666666,2.9146709121091234,44.0,64.0,55.0,120.0,No Stress,No Reaction
130.0,100.0,130.0,960,-26.153125,8.030993834239268,-47.0,9.0,-30.0,-4.8,1.6703261874470283,-15.0,4.0,-5.0,57.07083333333333,2.7088822603523877,44.0,65.0,56.0,130.0,Stress,Reaction
140.0,110.0,140.0,960,-24.238541666666666,7.0387260345980645,-47.0,9.0,-26.0,-5.0875,1.5182758730528763,-15.0,4.0,-5.0,57.90208333333333,2.304005632246524,44.0,65.0,58.0,140.0,No Stress,No Reaction
150.0,120.0,150.0,960,-24.961458333333333,3.5263900014710226,-34.0,-10.0,-26.0,-4.873958333333333,1.0630533072374602,-14.0,0.0,-5.0,57.9125,1.3031805161866519,53.0,65.0,58.0,150.0,No Stress,No Reaction
160.0,130.0,160.0,960,-28.072916666666668,3.1286119202919433,-48.0,-21.0,-27.0,-4.527083333333334,1.5961684549354773,-14.0,5.0,-5.0,56.68958333333333,1.6394179367565351,46.0,64.0,57.0,160.0,Stress,Reaction
170.0,140.0,170.0,960,-31.778125,5.000702831207627,-48.0,-21.0,-30.0,-5.746875,2.69814183636341,-17.0,5.0,-5.0,54.71666666666667,2.871043695467915,45.0,64.0,56.0,170.0,Stress,No Reaction
180.0,150.0,180.0,960,-34.623958333333334,4.377310080816965,-48.0,-23.0,-36.0,-7.025,3.2310085203221237,-18.0,5.0,-8.0,53.16354166666667,2.767554447664136,41.0,64.0,53.0,180.0,No Stress,No Reaction
